M_0: ['M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M']
M_135: ['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']
M_180: ['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']
M_225: ['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']
M_270: ['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']
M_315: ['M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M']
M_45: ['M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M']
M_90: ['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']
W_0: ['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']
W_135: ['M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M']
W_180: ['M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M']
W_225: ['M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M']
W_270: ['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']
W_315: ['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']
W_45: ['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']
W_90: ['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']
